"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection\classselection.component.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection\classselection.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 16
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection\classselection.component.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 7, 38
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\codepage\codepage.component.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\codepage\codepage.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\codepage\codepage.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\demo\demo.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\demo\demo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\demo\demo.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\exercise\exercise.component.html", "HTML", 0, 0, 0, 0, 227, 0, 0, 0, 0, 2, 10, 239
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\exercise\exercise.component.scss", "SCSS", 0, 0, 0, 0, 0, 135, 0, 0, 0, 1, 31, 167
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\exercise\exercise.component.ts", "TypeScript", 0, 0, 0, 677, 0, 0, 0, 0, 0, 29, 51, 757
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\levelpage\levelpage.component.html", "HTML", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 2, 75
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\levelpage\levelpage.component.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 17, 3, 30
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\levelpage\levelpage.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 6, 36
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\levelpage\levels.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 5, 11, 69
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\menu\menu.component.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\menu\menu.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\menu\menu.component.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\menu\menulist.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\quiz-intro\quiz-intro.component.html", "HTML", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
